A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,A29,A30,A31,A32,A33,A34,A35,A36,A37,A38,A39,A40,A41,A42,A43,A44,A45,A46,A47,A48,A49,A50,A51,A52,A53,A54,Y
2.01334,115.673,27.4088,72.2198,109.967,0.55244,66.9665,72.8627,38.0019,25.4906,28.7087,15.5242,4.62597,5.19737,30.5083,105.601,13.6671,2.54908,0.85551,184.299,170.632,123.191,0.973233,251.419,283.764,32.3457,148.071,124.254,507.415,-0.344942,174.076,184.999,16.4888,28.9831,125.802,176.605,249.057,247.079,22.5626,-0.984154,253.251,24.8594,25.2838,105.377,259.698,562.225,616.873,19.97,2842.16,8.24596,50.8468,108.79,0,109.968
1.9986,115.271,27.4044,72.2198,109.967,0.555712,67.0795,72.6941,37.9835,25.4158,28.7344,15.4529,4.52678,5.18483,30.4761,105.248,13.5511,2.52195,0.845878,184.183,170.632,121.998,0.987992,251.492,283.206,31.7142,148.197,121.855,506.654,-0.345378,173.991,184.774,16.5177,29.0098,125.114,176.477,249.057,247.362,22.742,-0.983696,253,27.4822,25.2838,126.103,259.503,581.402,636.078,19.9983,2854.66,8.0231,50.9911,128.907,0,109.999
2.0124,115.544,27.2544,72.2082,110.077,0.551971,67.0043,71.9461,37.8716,25.4171,28.9963,15.6238,4.24934,5.14617,30.476,105.393,13.6621,2.36454,0.85481,184.107,170.481,123.195,0.995293,251.49,282.865,31.3748,147.901,123.647,507.577,-0.344467,173.767,184.715,16.4471,28.9882,126.074,176.286,249.057,247.514,22.5386,-0.984154,252.662,29.8331,25.2838,142.308,258.762,545.155,617.04,20.0356,2819.09,7.85478,49.3012,142.359,0,109.975
2.02447,115.696,27.1758,72.2082,109.949,0.555727,66.9943,72.0583,37.7778,25.4909,28.7445,15.5667,4.4135,5.14941,30.4838,105.354,13.6259,2.433,0.868652,184.071,170.445,121.833,0.943904,251.232,282.375,31.1427,148.219,123.502,507.77,-0.344467,173.794,184.634,16.4492,28.9857,125.301,176.371,249.124,247.86,22.6287,-0.983688,252.353,26.6939,25.2838,120.59,258.477,543.266,597.435,19.9702,2829.34,7.63035,47.0904,122.434,0,109.952
2.01627,115.971,27.2447,72.1967,110.061,0.551042,66.9759,72.0564,37.7778,25.4906,28.592,15.356,4.33907,5.18379,30.4923,105.704,13.7738,2.38415,0.879107,184.218,170.445,122.717,0.956114,250.742,280.802,30.0602,147.231,122.702,507.212,-0.345386,173.85,184.827,16.491,28.9885,125.32,176.455,248.926,247.271,22.3669,-0.984605,251.932,26.8199,25.2838,119.453,257.649,551.471,628.359,20.0258,2847.45,7.44334,45.4595,121.927,0,110.022
1.99096,115.525,27.3293,72.1967,109.967,0.555251,66.9686,71.759,37.6655,25.4906,28.7426,15.5051,4.50185,5.19454,30.4675,105.394,13.5498,2.4761,0.836464,183.994,170.481,122.335,0.986096,249.992,279.871,29.8793,147.355,124.18,507.532,-0.344942,173.711,184.577,16.5325,29.01,124.906,176.265,248.686,246.233,21.675,-0.985545,251.004,30.08,25.2838,144.076,256.519,568.307,676.61,19.9988,2856.37,7.21892,47.4854,143.632,0,110.053
2.01901,115.731,27.4617,72.1968,110.079,0.550565,67.069,71.8529,37.6655,25.4906,28.8855,15.2612,4.65863,5.20465,30.4917,105.437,13.5511,2.57539,0.85582,183.846,170.295,123.358,1.00996,249.437,282.572,33.1349,146.932,124.294,508.419,-0.344451,173.683,184.519,16.4903,28.9778,124.951,176.266,248.21,245.886,21.5047,-0.986011,250.639,25.8801,25.2838,112.093,256.671,566.701,587.005,20.0262,2854.03,7.0319,49.5188,115.482,0,109.959
2.01328,115.618,27.0672,72.1967,109.967,0.553377,66.9203,72.0601,37.6655,25.7151,28.8975,15.5442,4.41355,5.2139,30.4913,105.56,13.8905,2.42006,0.834755,184.036,170.108,122.836,0.980038,250.332,283.352,33.0207,146.887,123.314,508.223,-0.345394,173.851,184.746,16.4203,28.983,124.443,176.433,248.013,245.56,22.6534,-0.984147,251.485,25.4471,25.2838,108.848,258.175,551.218,620.831,19.9888,2839.19,6.82586,51.3187,113.008,0.000917,110.006
2.01892,115.62,27.0797,72.1967,110.079,0.552854,67.0317,72.1521,37.6655,25.3055,28.8677,15.4271,4.69213,5.22869,30.4757,105.52,13.8506,2.58373,0.839011,184.333,170.483,121.687,0.946948,250.667,283.13,32.463,146.6,122.149,508.293,-0.344903,174.048,185.053,16.5731,28.9885,124.825,176.605,247.927,245.386,23.1377,-0.983222,252.017,30.6255,25.2811,142.634,258.633,549.597,607.047,20.0169,2846.58,6.69526,46.0609,146.611,3.02465,110.006
2.0236,115.77,27.0979,72.22,109.967,0.550581,67.0031,72.0583,37.6655,25.4925,28.8715,15.5457,4.71556,5.22846,30.5078,105.665,13.8886,2.58903,0.857591,184.333,170.444,123.692,0.930295,250.936,283.459,32.5235,147.019,121.287,508.821,-0.344015,174.075,184.97,16.4905,28.9912,125.926,176.605,247.841,245.041,21.9002,-0.985087,252.184,30.26,25.2783,148.317,258.937,545.366,586.923,20.0261,2850.61,6.62045,46.7333,147.036,2.54163,109.991
